year,partner_country,exports,n_records
1992,Argentina,124141239,1
1993,Argentina,247679413,1
1994,Argentina,291116304,1
1995,Argentina,273592956,1
1996,Argentina,336624915,1
1997,Argentina,465661050,1
1998,Argentina,549713408,1
1999,Argentina,496109819,1
2000,Argentina,610303235,1
2001,Argentina,573695719,1
2002,Argentina,185369034,1
2003,Argentina,447186056,1
2004,Argentina,852302428,1
2005,Argentina,1324429053,1
2006,Argentina,2003896248,1
2007,Argentina,3581130834,1
2008,Argentina,5054732598,1
2009,Argentina,3482892910,1
2010,Argentina,6115764185,1
2011,Argentina,8502556365,1
2012,Argentina,7869366024,1
2013,Argentina,8750429703,1
2014,Argentina,7679829418,1
2015,Argentina,17610212914,17
2016,Argentina,14401675202,39
2017,Argentina,18134421696,26
2018,Argentina,8418070603,1
2019,Argentina,6884154384,1
2020,Argentina,7083804680,1
2021,Argentina,10592598970,1
2022,Argentina,12769006874,1
2023,Argentina,10739158729,1
1992,Brazil,64751735,1
1993,Brazil,192166216,1
1994,Brazil,362390910,1
1995,Brazil,759058693,1
1996,Brazil,762930545,1
1997,Brazil,1044389298,1
1998,Brazil,1085363968,1
1999,Brazil,876002206,1
2000,Brazil,1223545495,1
2001,Brazil,1350925018,1
2002,Brazil,1466382340,1
2003,Brazil,2143255914,1
2004,Brazil,3674104212,1
2005,Brazil,4827209396,1
2006,Brazil,7380105731,1
2007,Brazil,11398472406,1
2008,Brazil,18807457292,1
2009,Brazil,14118518263,1
2010,Brazil,24460651866,1
2011,Brazil,31836677325,1
2012,Brazil,33413633342,1
2013,Brazil,35895471244,1
2014,Brazil,34890134489,1
2015,Brazil,54824450852,35
2016,Brazil,43952305530,65
2017,Brazil,57901076470,50
2018,Brazil,33665139187,1
2019,Brazil,35539063912,1
2020,Brazil,34953227525,1
2021,Brazil,53258848788,1
2022,Brazil,61969970590,1
2023,Brazil,59105409511,1
1992,Chile,128144274,1
1993,Chile,204125020,1
1994,Chile,285317986,1
1995,Chile,410413868,1
1996,Chile,463654947,1
1997,Chile,562191823,1
1998,Chile,619550080,1
1999,Chile,605178211,1
2000,Chile,783525335,1
2001,Chile,814782181,1
2002,Chile,998263386,1
2003,Chile,1283442803,1
2004,Chile,1688430897,1
2005,Chile,2149475698,1
2006,Chile,3109030073,1
2007,Chile,4432221346,1
2008,Chile,6186803918,1
2009,Chile,4928470444,1
2010,Chile,8024929525,1
2011,Chile,10816757816,1
2012,Chile,12600991714,1
2013,Chile,13105469078,1
2014,Chile,13017501123,1
2015,Chile,26580646996,33
2016,Chile,25605668770,46
2017,Chile,28819698328,38
2018,Chile,15873631082,1
2019,Chile,14711838585,1
2020,Chile,15336289699,1
2021,Chile,25996759432,1
2022,Chile,22520038832,1
2023,Chile,19508027539,1
1992,Ecuador,17474010,1
1993,Ecuador,41800549,1
1994,Ecuador,37284553,1
1995,Ecuador,44771358,1
1996,Ecuador,39301603,1
1997,Ecuador,57874993,1
1998,Ecuador,73888200,1
1999,Ecuador,39882691,1
2000,Ecuador,74872641,1
2001,Ecuador,134051379,1
2002,Ecuador,194476302,1
2003,Ecuador,239291584,1
2004,Ecuador,343598377,1
2005,Ecuador,467350792,1
2006,Ecuador,714345585,1
2007,Ecuador,946205457,1
2008,Ecuador,1547007581,1
2009,Ecuador,1003564126,1
2010,Ecuador,1495611929,1
2011,Ecuador,2224132316,1
2012,Ecuador,2613995860,1
2013,Ecuador,2966845611,1
2014,Ecuador,3245139234,1
2015,Ecuador,5782831324,12
2016,Ecuador,4514206602,25
2017,Ecuador,5926416370,17
2018,Ecuador,3717829868,1
2019,Ecuador,3628574265,1
2020,Ecuador,3252314420,1
2021,Ecuador,5420050028,1
2022,Ecuador,6288135830,1
2023,Ecuador,5861207557,1
1992,Peru,35458605,1
1993,Peru,61550597,1
1994,Peru,86482960,1
1995,Peru,145615835,1
1996,Peru,135371573,1
1997,Peru,97630241,1
1998,Peru,107228824,1
1999,Peru,130771580,1
2000,Peru,144331664,1
2001,Peru,176519611,1
2002,Peru,246643637,1
2003,Peru,353741239,1
2004,Peru,418407886,1
2005,Peru,608884182,1
2006,Peru,1008535158,1
2007,Peru,1683201091,1
2008,Peru,2774371548,1
2009,Peru,2098874209,1
2010,Peru,3549668095,1
2011,Peru,4653277170,1
2012,Peru,5332543568,1
2013,Peru,6188837905,1
2014,Peru,6100847629,1
2015,Peru,12709947768,24
2016,Peru,11979553248,44
2017,Peru,13917730014,18
2018,Peru,8064691821,1
2019,Peru,8513082009,1
2020,Peru,8865725945,1
2021,Peru,13114377628,1
2022,Peru,13532298527,1
2023,Peru,12110982799,1
