year,china_share
1992,.016930055
1993,.015582684
1994,.027261371
1995,.032863747
1996,.031607788
1997,.031794135
1998,.042016041
1999,.054725364
2000,.054800514
2001,.073745281
2002,.075909078
2003,.085497238
2004,.11843446
2005,.11062378
2006,.12381757
2007,.14395994
2008,.14796662
2009,.14176679
2010,.16816752
2011,.18438506
2012,.19382875
2013,.19664018
2014,.19158733
2015,.1844487
2016,.18263701
2017,.87830669
2018,1.4964381
2019,.54258811
2020,7.3319068
2021,22.625303
2022,.44706789
2023,.55598623
