year,total
1992,894285696
1993,1006964397
1994,1190690534
1995,1526164061
1996,1540415109
1997,1831593509
1998,1994334593
1999,1998229572
2000,3218272827
2001,3489618002
2002,3247818099
2003,3146389690
2004,4392397486
2005,5424946525
2006,6388707451
2007,8109028140
2008,9785964008
2009,7452938417
2010,7775896404
2011,10556253748
2012,10400367127
2013,10676372561
2014,8608641736
2015,6507210313
2016,6962435579
2017,14113791908.0336
2018,16477765498.39448
2019,33277557347.45514
2020,25241745434.29174
2021,33386898324.04426
2022,19227428305.50119
2023,19763814071.32355
