year,total_imports
1992,8981628
1993,11346664
1994,21699107
1995,34934839
1996,38079700
1997,46493516
1998,58263528
1999,64168376
2000,104735203
2001,164553438
2002,171762567
2003,243104939
2004,429949932
2005,591848824
2006,851283432
2007,1190195823
2008,1595643995
2009,1438942685
2010,2056550104
2011,2878690837
2012,3566389386
2013,3832966133
2014,4316429795
2015,3521941818
2016,3103489170
2017,12012381674.64843
2018,14199540625.54968
2019,19439588608.53093
2020,22724352493.2523
2021,35310277633.6902
2022,30677939944.25357
2023,20388077427.67371
