year,total
1992,2231664318
1993,3668207877
1994,4520131808
1995,4937561634
1996,5081639667
1997,6218909467
1998,5880426518
1999,4172478920
2000,4671727938
2001,5408863958
2002,5404415366
2003,5687705631
2004,6423405805
2005,8433199523
2006,10800032629
2007,13542638238
2008,16646772840
2009,15676586590
2010,19169126708
2011,26546953496
2012,28285917529
2013,30091609661
2014,33446637115
2015,27662721515
2016,21828324451
2017,58236354830.53046
2018,40722601354.54283
2019,54235481038.44896
2020,28139796504.78172
2021,37290822440.97789
2022,110714285023.6037
2023,88487428386.86301
