year,imports_china,imports_total,china_share
1992,8981628,1823964693,.016930055
1993,11346664,3311330790,.015582684
1994,21699107,3824706072,.027261371
1995,34934839,4696185344,.032863747
1996,38079700,4838950291,.031607788
1997,46493516,5721247685,.031794135
1998,58263528,4636604097,.042016041
1999,64168376,3639141813,.054725364
2000,104735203,4211487313,.054800514
2001,164553438,5375507758,.073745281
2002,171762567,5386603856,.075909078
2003,243104939,5675252990,.085497238
2004,429949932,6417636819,.11843446
2005,591848824,8423481423,.11062378
2006,851283432,10788395004,.12381757
2007,1190195823,13506828904,.14395994
2008,1595643995,16614952333,.14796662
2009,1438942685,15676494601,.14176679
2010,2056550104,19169006720,.16816752
2011,2878690837,26546804307,.18438506
2012,3566389386,28285794604,.19382875
2013,3832966133,30091060950,.19664018
2014,4316429795,33445709027,.19158733
2015,3521941818,27661592223,.1844487
2016,3103489170,21827937663,.18263701
2017,12012380893.60845,58234728408.94693,.87830669
2018,13786465737.22192,40722601354.54284,1.4964381
2019,19439588608.53093,54234793290.33861,.54258811
2020,20114692071.07292,28139796504.78171,7.3319068
2021,35223483406.87872,37290715740.65756,22.625303
2022,30677939944.25357,110714285023.6036,.44706789
2023,20388077427.67372,88487216747.06287,.55598623
