hs6,our_ciiu2,pkg_isic2,match
310100,20,NA,FALSE
340290,20,NA,FALSE
200490,10,NA,FALSE
390530,20,NA,FALSE
220290,10,NA,FALSE
701322,23,NA,FALSE
844315,28,NA,FALSE
852210,26,NA,FALSE
850750,27,NA,FALSE
851431,28,NA,FALSE
761290,25,NA,FALSE
853890,27,NA,FALSE
410791,15,NA,FALSE
400249,20,NA,FALSE
902690,26,NA,FALSE
441039,16,NA,FALSE
731822,25,NA,FALSE
841780,28,NA,FALSE
701590,23,NA,FALSE
293962,21,NA,FALSE
732113,27,NA,FALSE
920590,32,NA,FALSE
853190,27,NA,FALSE
611012,14,NA,FALSE
020629,10,NA,FALSE
390490,20,NA,FALSE
854380,27,NA,FALSE
940383,31,NA,FALSE
240319,12,NA,FALSE
701110,23,NA,FALSE
902212,26,NA,FALSE
392210,22,NA,FALSE
391110,20,NA,FALSE
300219,21,NA,FALSE
611529,14,NA,FALSE
847990,27,NA,FALSE
390799,20,NA,FALSE
381800,26,NA,FALSE
903081,26,NA,FALSE
700312,23,NA,FALSE
701321,23,NA,FALSE
810294,24,NA,FALSE
700991,23,NA,FALSE
701710,23,NA,FALSE
293629,21,NA,FALSE
845190,27,NA,FALSE
850690,27,NA,FALSE
160231,10,NA,FALSE
240499,21,NA,FALSE
851993,26,NA,FALSE
392062,22,NA,FALSE
020990,10,NA,FALSE
392091,22,NA,FALSE
901831,32,NA,FALSE
150100,10,NA,FALSE
441193,16,NA,FALSE
621133,14,NA,FALSE
150940,10,NA,FALSE
293390,21,NA,FALSE
290342,20,NA,FALSE
870360,29,NA,FALSE
020725,10,NA,FALSE
320890,20,NA,FALSE
040510,10,NA,FALSE
293722,21,NA,FALSE
850680,27,NA,FALSE
390591,20,NA,FALSE
844313,28,NA,FALSE
902730,26,NA,FALSE
470693,17,NA,FALSE
441292,16,NA,FALSE
330749,20,NA,FALSE
400220,20,NA,FALSE
811269,24,NA,FALSE
848240,28,NA,FALSE
441811,16,NA,FALSE
850450,26,NA,FALSE
300220,21,NA,FALSE
020712,10,NA,FALSE
390450,20,NA,FALSE
020410,10,NA,FALSE
020890,10,NA,FALSE
441821,16,NA,FALSE
300630,21,NA,FALSE
852349,18,NA,FALSE
851910,26,NA,FALSE
841470,28,NA,FALSE
701091,23,NA,FALSE
731814,25,NA,FALSE
390740,20,NA,FALSE
721550,24,NA,FALSE
293334,21,NA,FALSE
854340,27,NA,FALSE
851981,26,NA,FALSE
411200,15,NA,FALSE
090220,10,NA,FALSE
842810,28,NA,FALSE
848230,28,NA,FALSE
841013,28,NA,FALSE
870810,25,NA,FALSE
