year,ciiu_2d,imports_china,n_hs6_products,imports_total,china_share
2021,19,118116611.59463501,128,449615.29248046875,262.7059631347656
2021,15,1198667394.2873688,1140,9571431.886230469,125.2338638305664
2020,31,182722707.42002106,622,3270343.7137680054,55.87263107299805
2021,16,209988027.2407837,270,5694675.075073242,36.874454498291016
2021,31,153180079.34724426,130,5803913.014501572,26.392553329467773
2020,20,1250996825.2919846,1667,52959986.942237854,23.62154769897461
2018,15,727712806.2487421,555,35166789.200823784,20.69318389892578
2020,29,1181920097.7639856,258,116213969.10418415,10.170207023620605
2017,24,172712281.17196274,191,24335631.208740234,7.097095012664795
2021,32,1647952473.8559637,2226,289710231.7287469,5.688278675079346
2021,14,143020512.84226513,957,28699343.94694233,4.983407020568848
2018,26,5180731459.715481,5071,1173450552.7783632,4.414955139160156
2017,21,544482931.3418517,820,131877952.06072998,4.128688335418701
2021,27,5258588337.080825,6800,1346627837.0418105,3.9050049781799316
2023,24,688667357.4001617,230,190678995.2603712,3.6116580963134766
2021,28,1711237608.0126607,3051,910164386.0195826,1.880141258239746
2019,15,1473320444.5911503,1083,848860164.9583864,1.7356456518173218
2021,20,2439524156.9394455,1815,1585137185.2478561,1.5389987230300903
2019,24,507245125.34655464,299,339966701.0650532,1.4920436143875122
2023,12,807888.23095703125,15,559782.216796875,1.4432188272476196
2022,24,824146867.3024902,226,585986172.4501956,1.4064271450042725
2020,25,894546560.7476927,3270,646049440.3652067,1.3846410512924194
2017,13,125194055.33208656,390,91002746.30792809,1.375717282295227
2018,31,115015934.03015709,328,90866270.2317028,1.265771508216858
2018,14,127341212.03045464,560,103946592.6039114,1.2250638008117676
2019,31,152854931.3937931,487,124929981.47255933,1.223524808883667
2021,23,1341363504.2239456,3302,1123477771.4390569,1.1939386129379272
2017,22,162181978.83619615,618,138316588.00053024,1.1725417375564575
2023,31,115222997.65732193,344,99054218.07801819,1.163231611251831
2021,26,11492585659.382921,9768,9948125310.76778,1.155251383781433
2022,25,944953429.4717162,1853,837377079.1341834,1.1284682750701904
2017,20,1131817208.3453767,1314,1065025743.62574,1.0627135038375854
2018,27,2234753928.90645,3487,2131090532.037774,1.0486433506011963
2018,32,592703993.5322509,1349,589640759.3683329,1.005195140838623
