year,correct_share,mean_of_shares,diff
1992,0.021781069370539922,0.0383465558734315,-0.016565486502891576
1993,0.010279720622531173,0.0890191327139052,-0.07873941209137403
1994,0.01108963446026196,0.10253916705934037,-0.09144953259907841
1995,0.015119543528027147,0.05681532119134707,-0.04169577766331992
1996,0.01643674045951807,0.06332877192617162,-0.04689203146665355
1997,0.018335966895905328,0.0573314700537594,-0.03899550315785408
1998,0.021041522417559893,0.0715373057970091,-0.0504957833794492
1999,0.03293105667032604,0.10793467395124026,-0.07500361728091423
2000,0.04417761313438036,0.10653045851504431,-0.06235284538066395
2001,0.060117339361011594,0.09700017829059757,-0.03688283892958597
2002,0.06319862897377357,0.13890769448508286,-0.07570906551130929
2003,0.07721008712480458,0.14435909792692178,-0.0671490108021172
2004,0.10174414615304593,0.14099739193694577,-0.03925324578389984
2005,0.09282238995479447,0.12389156045225848,-0.031069170497464008
2006,0.09588636471848802,0.13918028472523605,-0.04329392000674803
2007,0.10233408021109035,0.15380613275227092,-0.05147205254118058
2008,0.11546479703711908,0.15583053575149583,-0.04036573871437675
2009,0.12052224907324784,0.1500996796133801,-0.029577430540132274
2010,0.1322152217059083,0.17722052543170072,-0.04500530372579242
2011,0.13699284155535615,0.19847701720341734,-0.06148417564806119
2012,0.1390917914690002,0.2128855232509997,-0.0737937317819995
2013,0.14485978802956267,0.20765805874676022,-0.06279827071719754
2014,0.14290114564269685,0.20257075457155463,-0.05966960892885778
2015,0.14757424015129297,0.19343261209660736,-0.04585837194531439
2016,0.15877071710170723,0.19465114836297606,-0.03588043126126883
2017,0.1856735365738447,0.39277425688818435,-0.20710072031433965
2018,0.14671216743667015,0.23667613933572457,-0.08996397189905442
2019,0.3944894569477803,0.5671500633047386,-0.1726606063569583
2020,0.5606159966996277,0.8199685511107628,-0.25935255441113514
2021,0.796002242875264,1.7732467209724219,-0.9772444780971579
2022,0.2691785777526603,0.4130321964621544,-0.1438536187094941
2023,0.2367756118200438,0.42695050785803923,-0.19017489603799542
