ciiu,ciiu_original,n_obs
2529,2529,4281
2220,2220,3146
1589,1589,2058
3611,3611,1595
1530,1530,1455
1921,1921,1424
2521,2521,1273
1750,1750,904
1594,1594,782
3612,3612,708
1741,1741,682
1521,1521,591
1581,1581,553
1522,1522,536
3613,3613,533
1561,1561,502
1931,1931,469
1720,1720,462
1926,1926,458
2090,2090,421
3619,3619,408
1749,1749,399
1910,1910,384
2729,2729,339
2322,2322,293
1563,1563,288
3614,3614,244
2030,2030,233
1924,1924,208
2040,2040,193
2232,2232,178
1710,1710,169
1592,1592,159
2512,2512,156
1591,1591,152
1929,1929,121
1571,1571,120
2231,2231,118
1743,1743,113
1925,1925,108
1922,1922,107
1742,1742,102
1572,1572,80
2234,2234,78
2020,2020,74
1939,1939,72
2323,2323,43
2233,2233,29
2414,2414,25
2721,2721,22
1932,1932,22
1593,1593,21
2513,2513,6
2321,2321,3
