year,ciiu_rev4_2d,mean_tfp_lp,mean_tfp_wrdg,mean_tfp_acf,sd_tfp_lp,sd_tfp_wrdg,sd_tfp_acf,n_obs
2012,10,9.5314455,9.6435499,9.7429562,1.1821691,1.1854341,1.4841056,1544
2013,10,9.5174837,9.6299353,9.6905813,1.1636087,1.1670712,1.4335921,1511
2014,10,9.5317888,9.6443043,9.6328011,1.1998001,1.2030104,1.4249363,1533
2015,10,9.5973864,9.7090998,9.6156158,1.2266818,1.2303466,1.466223,1529
2016,10,9.7059374,9.816947,9.4801388,1.214851,1.2185836,1.4731077,1428
2017,10,9.7276564,9.8390017,9.4512596,1.2102901,1.2138208,1.4558254,1425
2018,10,9.7354345,9.8471165,9.3846159,1.2028716,1.206094,1.3968712,1409
2019,10,9.7415314,9.8536444,9.3936558,1.2159963,1.2192596,1.4275624,1392
2020,10,9.7072515,9.819828,9.4004145,1.3143154,1.3176148,1.4512746,1364
2021,10,9.7971306,9.9097347,9.433074,1.3393154,1.3422009,1.4348556,1336
2022,10,9.9251471,10.037766,9.4661274,1.3481994,1.3514242,1.4975616,1291
2023,10,9.9323092,10.04476,9.4089088,1.3006999,1.3037719,1.4591023,1260
2012,11,3.4860332,3.605907,5.8160291,.87846732,.88536704,.79040706,86
2013,11,3.4242172,3.5423524,5.7720704,.90551591,.91253591,.81260657,91
2014,11,3.3077552,3.4259031,5.6569071,.75763112,.76519567,.68951321,92
2015,11,3.2789841,3.3978734,5.6059704,.77402437,.78091085,.73879391,90
2016,11,2.7468405,2.862699,5.0297899,.74502212,.73500824,.60837036,21
2017,11,2.7286232,2.8446345,5.0676517,.69823819,.6881395,.56231874,21
2018,11,3.549166,3.6734984,5.78194,.87453425,.87248242,.80735952,71
2019,11,3.5429296,3.6663465,5.8418603,.83841968,.83926153,.8032403,73
2020,11,3.3365419,3.4611182,5.6462798,.95581657,.95999849,.89280748,72
2021,11,3.6031878,3.7289417,5.8857808,.92463011,.92286265,.87238759,69
2022,11,3.6673191,3.7950594,5.9363456,.9065932,.90756959,.86246061,67
2023,11,3.6461165,3.7752557,5.8944569,.75382459,.7594288,.68153012,63
2012,13,8.5617027,8.6575603,10.627045,.93805021,.93110377,1.0546014,289
2013,13,8.5172758,8.6137238,10.570907,.96960723,.96216798,.98332083,276
2014,13,8.6186781,8.7126417,10.568131,.98917353,.98039681,.98143667,270
2015,13,8.6619825,8.7543774,10.530656,.98609108,.97915637,1.0543633,260
2016,13,8.7056026,8.795145,10.355768,.94770622,.93920678,.82979149,148
2017,13,8.6300678,8.7228241,10.441668,.90081763,.89209807,.8262561,198
2018,13,8.6463184,8.7407322,10.516229,.97844958,.97202098,.89999747,239
2019,13,8.6569786,8.7517347,10.552804,1.026287,1.0177935,.92157078,233
2020,13,8.521986,8.6190557,10.498431,1.0978819,1.0884168,.95300925,222
2021,13,8.7355938,8.83148,10.648086,1.106522,1.0984354,.96563894,213
2022,13,8.8531904,8.9475079,10.67683,1.070594,1.0612104,.93912715,207
2023,13,8.7412176,8.8355274,10.573853,1.0062685,.99727136,.88695061,195
2012,14,11.956976,12.035589,7.9038544,.9734385,.97196084,1.042792,955
2013,14,11.908087,11.986702,7.8546867,1.015105,1.012952,1.0623709,907
2014,14,11.978421,12.05708,7.8642745,1.041273,1.0392126,1.0645032,917
2015,14,11.988964,12.066228,7.8463411,1.0673242,1.0652089,1.068926,888
2016,14,12.050756,12.126817,7.7784891,1.0608515,1.0587556,1.0614095,714
2017,14,11.987463,12.063826,7.6850195,1.0446198,1.0424339,1.0120988,710
2018,14,12.006875,12.083772,7.687573,1.0456227,1.0438157,1.0585848,782
2019,14,12.03187,12.109361,7.6911941,1.046579,1.0447038,1.0468662,741
2020,14,11.748126,11.826476,7.4712348,1.1576532,1.1543993,1.0633723,678
2021,14,11.991299,12.06923,7.6531973,1.1747776,1.1720787,1.0205702,652
2022,14,12.136563,12.213161,7.6695948,1.1233613,1.1211733,1.0371343,610
2023,14,12.103332,12.179914,7.6373973,1.1004081,1.0984712,1.0419319,597
2012,15,8.5656137,8.7453642,9.3092918,.73193461,.71982867,.82051021,315
2013,15,8.5102482,8.6905842,9.2434731,.72768676,.71397048,.76952553,300
2014,15,8.5598888,8.7402925,9.2890558,.867342,.85318452,.83823204,302
2015,15,8.5856962,8.7630014,9.2639351,.83417869,.81918019,.8177613,292
2016,15,8.5575514,8.7317991,9.1401463,.81767243,.80261642,.79518872,243
2017,15,8.5460815,8.7214298,9.1601706,.8402012,.82668644,.83596063,292
2018,15,8.5438995,8.7185068,9.1201153,.7289511,.71481889,.71010339,282
2019,15,8.4499464,8.6294222,9.1124096,.80016237,.78316498,.7295534,269
2020,15,7.9641089,8.1481886,8.7110443,1.0260065,1.0101466,.82938582,215
2021,15,8.3027706,8.485693,9.0037088,1.0218949,1.0058084,.8340171,194
2022,15,8.5771618,8.7535505,9.1175108,.8052271,.79358822,.80081898,179
2023,15,8.4352303,8.6150513,9.0628757,.8806805,.86442989,.77275485,179
2012,16,6.9199781,7.0526299,,.77118993,.76015884,,178
2013,16,6.8062119,6.9398699,,.82693714,.81259352,,163
2014,16,6.7793241,6.9134865,,.83506149,.82469928,,187
2015,16,6.8263493,6.9580455,,.89511186,.88376796,,182
2016,16,6.9101343,7.0416298,,.77665925,.76858884,,162
2017,16,6.841558,6.9751582,,.7665813,.75912952,,159
2018,16,6.6880584,6.8249583,,.9375031,.92828816,,147
2019,16,6.7529402,6.8884401,,.85184079,.8428176,,137
2020,16,6.604599,6.741363,,.86257249,.85553008,,129
2021,16,6.689733,6.8273726,,.92621744,.9192915,,126
2022,16,6.9138579,7.0490208,,.79585534,.79337645,,105
2023,16,6.8155289,6.9507847,,.77609265,.77031237,,95
2012,17,9.0956182,9.0526371,,.9260816,.9366774,,139
2013,17,9.0609684,9.0173101,,.92078632,.93105984,,135
2014,17,9.11798,9.0744629,,.91343915,.92191094,,129
2015,17,9.1947203,9.1532068,,.99973297,1.0097648,,126
2016,17,9.1703682,9.1307154,,.93651778,.946437,,115
2017,17,9.1417589,9.1011343,,.99786925,1.0080639,,114
2018,17,9.321537,9.2842178,,1.0438311,1.0544003,,127
2019,17,9.2464323,9.2060947,,1.0838825,1.0990154,,127
2020,17,9.1592131,9.1191177,,1.1032312,1.1167136,,123
2021,17,9.2208328,9.18048,,1.0770251,1.0904738,,127
2022,17,9.3622885,9.3224745,,1.0276096,1.0409626,,128
2023,17,9.3284159,9.2904444,,.99324054,1.0085678,,127
2012,18,10.428769,10.49373,,.81699741,.81792808,,468
2013,18,10.415884,10.481007,,.83080649,.83141601,,490
2014,18,10.409937,10.475182,,.90179133,.90252054,,488
2015,18,10.418955,10.483909,,.91117996,.91204756,,487
2016,18,10.567362,10.632257,,.80860406,.80944514,,411
2017,18,10.583604,10.648709,,.81067961,.81148696,,398
2018,18,10.579773,10.645504,,.86311346,.86372644,,374
2019,18,10.589736,10.655587,,.87556797,.87605715,,361
2020,18,10.407816,10.474288,,.92011088,.9206807,,337
2021,18,10.518202,10.584501,,.93960375,.94003767,,322
2022,18,10.682165,10.748194,,.96806043,.96840233,,305
2023,18,10.670643,10.736759,,.95397359,.95424199,,302
2012,19,15.166514,15.063014,8.9967918,2.1519446,2.1374407,1.5051358,69
2013,19,15.324234,15.213617,8.8813591,2.2578771,2.2448552,1.6517363,69
2014,19,14.899681,14.795153,8.7431145,2.334558,2.3228827,1.7411227,73
2015,19,15.121265,15.012363,8.795105,2.2595205,2.2451911,1.5872675,67
2016,19,14.868937,14.765668,8.6790848,2.1760449,2.1649449,1.5249985,72
2017,19,15.163019,15.054479,8.7778015,2.0847871,2.0705481,1.398899,78
2018,19,15.335524,15.22667,9.0455799,1.9507546,1.9379867,1.5674151,91
2019,19,15.410582,15.302235,9.1302881,2.0081453,1.995815,1.6103253,92
2020,19,15.230274,15.121708,8.9316463,1.9086155,1.8960049,1.506758,91
2021,19,15.48523,15.377113,9.1449337,1.7685889,1.7542907,1.3186491,89
2022,19,15.533694,15.425681,9.2094669,1.8160598,1.8014357,1.3675138,91
2023,19,15.527921,15.42302,9.308692,1.8260195,1.8134698,1.4686979,103
2012,20,10.210003,10.167511,8.4298449,1.1792294,1.1695679,1.2113065,522
2013,20,10.188834,10.146522,8.4379101,1.1860703,1.1753591,1.2031099,526
2014,20,10.183086,10.140513,8.3970385,1.1982527,1.1869011,1.1478516,546
2015,20,10.244412,10.201348,8.3986073,1.209357,1.1983361,1.1660862,530
2016,20,10.492956,10.445078,8.2408953,1.0589236,1.0483291,1.0746856,237
2017,20,10.436244,10.388263,8.192337,1.1005896,1.0900959,1.0910958,248
2018,20,10.368538,10.3223,8.2881794,1.1928022,1.1825351,1.1297048,519
2019,20,10.354828,10.308797,8.2997808,1.238216,1.2276232,1.117522,530
2020,20,10.361636,10.315521,8.3022251,1.2450483,1.2335322,1.0887586,520
2021,20,10.463725,10.417288,8.38344,1.2750337,1.2635531,1.1193638,514
2022,20,10.559758,10.512242,8.3804836,1.2975503,1.2867713,1.170608,505
2023,20,10.533894,10.48617,8.3356323,1.2770884,1.2658198,1.0891116,499
2012,21,13.231232,13.466094,,1.3536898,1.3808945,,199
2013,21,13.296476,13.534971,,1.4045342,1.4318871,,195
2014,21,13.295973,13.534367,,1.3855138,1.4122164,,201
2015,21,13.379679,13.617374,,1.4572865,1.484235,,197
2016,21,13.457421,13.698111,,1.4313701,1.4558178,,188
2017,21,13.445489,13.688129,,1.4247156,1.4513031,,184
2018,21,13.491262,13.737576,,1.4665504,1.4908384,,174
2019,21,13.493908,13.741116,,1.4583644,1.4847056,,173
2020,21,13.588511,13.83621,,1.4386473,1.4655902,,169
2021,21,13.669358,13.920649,,1.4014723,1.4289186,,170
2022,21,13.662537,13.914989,,1.4653589,1.4911478,,168
2023,21,13.664916,13.915689,,1.4515899,1.481855,,169
2012,22,9.7020988,9.7900419,5.0570297,.89644098,.90078962,.76520813,718
2013,22,9.7060127,9.7942038,5.0189199,.92877907,.93287867,.80850351,699
2014,22,9.7126408,9.8010454,5.0184932,.96715581,.97136682,.79493511,713
2015,22,9.7732038,9.8612661,5.0578671,.99096698,.99505186,.83094823,694
2016,22,9.8084202,9.8962593,5.039391,.95879167,.9624182,.83244044,635
2017,22,9.7820559,9.8706961,4.9709959,.91706449,.92104286,.75592422,612
2018,22,9.8518877,9.9415169,4.9676976,.96954846,.97369307,.78537834,613
2019,22,9.8574018,9.947258,4.9440565,.93638974,.94085866,.76444006,606
2020,22,9.7775536,9.8673544,4.8696942,.98899716,.99342245,.77272242,603
2021,22,9.961628,10.051565,5.0156827,1.0128032,1.017799,.77316028,583
2022,22,10.036113,10.126312,5.0217915,1.0080917,1.013234,.74290335,557
2023,22,9.9674072,10.057384,4.9744577,.99968559,1.0044425,.75584674,552
2012,23,7.6231132,7.8132086,,1.0516584,1.0599564,,460
2013,23,7.4814668,7.6723132,,.84735388,.85511446,,451
2014,23,7.5395141,7.728476,,.89289886,.90136659,,458
2015,23,7.6882138,7.8760777,,.88148439,.88793296,,443
2016,23,7.6031651,7.7894416,,.90299743,.90834218,,457
2017,23,7.4921269,7.6794891,,.89312679,.89717644,,450
2018,23,7.4997954,7.6889853,,.93092364,.9349134,,441
2019,23,7.4877024,7.6774459,,.89973623,.90514666,,429
2020,23,7.3210673,7.5126204,,.8842932,.89088577,,410
2021,23,7.5164604,7.7073565,,.90327924,.90888041,,390
2022,23,7.5598922,7.7508993,,.88466811,.89101297,,382
2023,23,7.5231338,7.7142887,,.91697788,.92282408,,385
2012,24,7.0783086,7.027101,,1.2939904,1.2966293,,158
2013,24,6.7714515,6.7196002,,.90229779,.90809941,,146
2014,24,6.7548695,6.7017608,,.99806863,1.0031544,,150
2015,24,6.8744497,6.822207,,1.1706407,1.1750038,,161
2016,24,6.7690759,6.7181702,,.97597533,.98449862,,62
2017,24,6.7105579,6.6599231,,1.1609644,1.1692243,,70
2018,24,6.8721848,6.8201976,,1.0694587,1.0756823,,136
2019,24,6.9916639,6.9403448,,1.0967222,1.1029453,,136
2020,24,6.8740053,6.8229685,,1.2127327,1.2186872,,130
2021,24,7.3201694,7.2704048,,1.3049891,1.3096139,,122
2022,24,7.3399811,7.2907805,,1.3104055,1.3156743,,120
2023,24,7.2419796,7.1934609,,1.2128966,1.2187276,,121
2012,25,9.7724771,9.8849602,9.5562305,.83538145,.82816267,.8589651,691
2013,25,9.7299833,9.842577,9.4914474,.88779026,.87765825,.82934242,658
2014,25,9.709116,9.822813,9.4889765,.95163554,.94136024,.91890079,665
2015,25,9.7093849,9.8206224,9.4362659,.96030068,.94879293,.87878329,639
2016,25,9.7143021,9.8236551,9.3367567,.92539072,.9142583,.75751406,594
2017,25,9.6489639,9.759223,9.2860222,.89359581,.88295227,.74172169,586
2018,25,9.7483091,9.8591051,9.3739347,.88779992,.87920815,.79316205,558
2019,25,9.7188005,9.8317728,9.3854561,.90434331,.89376038,.73203355,531
2020,25,9.5637016,9.6786346,9.2880974,.98467052,.97265059,.73481625,500
2021,25,9.7663937,9.8796902,9.441617,1.0751756,1.0629922,.78263217,490
2022,25,9.9196577,10.030264,9.4976873,1.0057405,.99572545,.84785765,454
2023,25,9.8698406,9.9802618,9.4433317,.977687,.96644789,.77609718,440
2012,27,8.3765907,8.6733036,7.4148793,.99742603,.99989128,.82001865,166
2013,27,8.326148,8.6244669,7.3706722,.89564109,.90048039,.7137776,165
2014,27,8.3414822,8.64114,7.3872085,1.0075779,1.0061679,.75181305,166
2015,27,8.3409081,8.6380596,7.3952332,1.031455,1.0317488,.87982136,165
2018,27,8.4914703,8.7992306,7.3681173,1.1205322,1.1307086,.84437042,167
2019,27,8.5026226,8.810276,7.3900561,1.1031262,1.1099796,.84881967,160
2020,27,8.4319391,8.7401609,7.3210602,1.1301581,1.1367085,.83445704,154
2021,27,8.550211,8.8594322,7.4158783,1.1636342,1.1717376,.89043355,153
2022,27,8.6419106,8.9554129,7.4242525,1.2174759,1.2247152,.89976943,144
2023,27,8.6920137,9.0054941,7.4169512,1.2126046,1.220134,.9124946,143
2012,28,9.2615137,9.5486488,8.888485,.74501032,.73981464,.63839203,494
2013,28,9.2175207,9.5073109,8.8461742,.74314684,.73954391,.62143159,488
2014,28,9.223299,9.513525,8.8619089,.76354331,.75855827,.67163813,479
2015,28,9.2513161,9.5390062,8.8606071,.75209111,.7453717,.66093558,469
2016,28,9.340848,9.6249218,8.8534632,.71575135,.70828283,.57319605,382
2017,28,9.2827206,9.5726366,8.8151712,.76352507,.75613308,.64712018,319
2018,28,9.2975063,9.5901976,8.8096733,.75485992,.74932456,.60598195,333
2019,28,9.3187246,9.6118851,8.8351994,.74431491,.73992568,.58593857,330
2020,28,9.1596298,9.4525795,8.6870918,.79198444,.78557599,.60737079,321
2021,28,9.3231153,9.6164169,8.836648,.81833035,.81167704,.62307572,293
2022,28,9.3924961,9.6823645,8.8605194,.83813477,.83288777,.64579862,275
2023,28,9.4034119,9.6938133,8.860878,.78889364,.78349429,.60028291,273
2012,29,8.532794,8.6991034,,1.0007443,.99286377,,175
2013,29,8.3637075,8.5333633,,.97747689,.9677217,,173
2014,29,8.3269491,8.4979038,,1.0791447,1.0731916,,179
2015,29,8.3185167,8.4887486,,1.0876458,1.084736,,165
2016,29,8.3010349,8.4719105,,1.0785862,1.0694573,,126
2017,29,8.1806021,8.3535137,,1.1048868,1.0936297,,124
2018,29,8.3192472,8.4919434,,1.0976851,1.086199,,147
2019,29,8.4127874,8.5815306,,1.1089997,1.0964524,,142
2020,29,8.1734514,8.3437166,,1.0254846,1.0116103,,131
2021,29,8.3556194,8.5265675,,.86050993,.85109681,,131
2022,29,8.4519405,8.6192465,,.99820846,.98945498,,121
2023,29,8.3409472,8.5086212,,.97100693,.95868027,,117
2012,30,5.1324501,6.0389209,8.3939142,.87956119,.80537438,.66848415,34
2013,30,4.9255552,5.8290548,8.1360111,.97197533,.8712455,.57231396,30
2014,30,4.9650583,5.8354273,8.0292625,1.0122367,.91647655,.56725472,30
2015,30,4.9995704,5.8604541,8.0028687,.99265695,.85951596,.39106664,29
2016,30,4.8758125,5.74611,7.9233894,.91562587,.82960063,.59307122,29
2017,30,5.0310125,5.8781338,7.9526639,.91489542,.85548246,.69751865,27
2018,30,5.0444469,5.9001684,7.9896278,.71826583,.64403945,.54320884,27
2019,30,5.0706682,5.9624028,8.1667643,.78207517,.68577194,.62920111,25
2020,30,5.0479984,5.9249773,8.0782003,.91893297,.81234521,.64478457,24
2021,30,4.9539127,5.8139701,7.8981476,1.0835222,.99420005,.76343179,33
2022,30,5.1021533,5.9782577,8.1183939,1.0089902,.92688155,.77989632,32
2023,30,5.0419559,5.9236951,8.078968,.91435212,.82590121,.74095637,33
1993,31,10.165914,10.299006,9.5451441,1.1235497,1.1112057,.97674584,1073
1994,31,10.18846,10.327594,9.6284275,1.1413771,1.1275622,.96720606,1021
2012,31,9.6395197,9.8056812,9.6647091,.88115048,.86503303,.87436599,450
2013,31,9.5998363,9.7669783,9.6304827,.94698638,.92895377,.85702676,436
2014,31,9.5649014,9.7345114,9.6308155,.9985168,.98022187,.9131189,403
2015,31,9.5955496,9.7624817,9.6113491,1.0379115,1.0190097,.93363416,381
2016,31,9.6541443,9.8143005,9.4923124,1.0332993,1.0133263,.87327677,317
2017,31,9.6110535,9.7737494,9.4683704,.95683414,.93724394,.76828074,300
2018,31,9.6154881,9.7793312,9.4945507,.92755467,.9087311,.76787937,318
2019,31,9.5735874,9.7416973,9.5090332,.99107593,.97340184,.88597149,303
2020,31,9.3132,9.4834404,9.2614727,1.1263763,1.1012841,.81363344,271
2021,31,9.5559788,9.7255201,9.481307,1.070146,1.0439655,.8101511,256
2022,31,9.6535063,9.8194151,9.5202055,1.0309318,1.0062147,.8036316,246
2023,31,9.5712996,9.7387409,9.458396,1.0545156,1.0289105,.80811441,240
1993,32,8.0758905,8.2009802,6.6440921,.75332171,.74643022,.76030904,1341
1994,32,8.0220356,8.1503792,6.5734186,.74162555,.73385429,.76423115,1217
2012,32,8.0850239,8.2538519,7.3159032,1.0496097,1.053779,1.1031694,676
2013,32,7.908215,8.0783205,7.1832581,1.069553,1.0714042,1.0466797,619
2014,32,7.8893428,8.0594168,7.1746483,1.0864358,1.0861146,.96627879,621
2015,32,7.9823923,8.151845,7.2838855,1.1565323,1.1583874,1.1115468,690
2016,32,7.8676548,8.0328093,7.0901051,1.0475321,1.0469211,1.0599593,416
2017,32,7.8150392,7.9795623,6.9810629,1.0156056,1.0128899,.91416007,440
2018,32,7.9000888,8.0674419,7.0399461,1.1238819,1.1230643,.99234402,590
2019,32,7.9160218,8.0848951,7.0637708,1.1273671,1.1262769,.99003184,579
2020,32,7.7613101,7.9309788,6.9436116,1.1662186,1.1634185,.96680868,548
2021,32,7.8789325,8.0484552,7.0424681,1.2753162,1.2714053,1.0813116,573
2022,32,8.0059319,8.1731424,7.0694566,1.2610506,1.2593083,1.0964791,561
2023,32,8.0043249,8.1704359,7.0694923,1.1790425,1.1772344,1.016161,571
1993,33,8.148427,8.2256594,,.6973983,.67250055,,324
1994,33,8.1556644,8.2376575,,.70905423,.68494016,,249
2012,33,8.6423864,8.8096809,,.99140692,.97985154,,17
2014,33,8.0965872,8.2497654,,.63519156,.63629496,,24
2015,33,7.772109,7.9356799,,1.0299915,1.0028931,,25
