method,ciiu_rev4_2d,alpha_l,alpha_k,alpha_m,se_l,se_k,se_m,n_obs,n_firms,converged
ACF,10,2.0705576,-.084938161,,.047553942,.10974337,,17022,1896,1
LP,10,.18282755,.37024733,,.0068632388,.018456353,,17022,1896,1
WRDG,10,.19740473,.35904363,,.0037392329,.0055916724,,17022,1896,1
ACF,11,.78342253,.46415743,,.022540556,.032910172,,816,125,1
LP,11,.1461644,.76375341,,.05379568,.15077683,,816,125,1
WRDG,11,.13243973,.75970227,,.038217332,.026039924,,816,125,1
ACF,13,1.4267917,-.033872906,,.00029807244,.0033901925,,2750,363,1
LP,13,.29036686,.38190848,,.010135015,.046180569,,2750,363,1
WRDG,13,.3121241,.36999205,,.010547105,.013631025,,2750,363,1
ACF,14,1.1730788,.22249599,,.050449446,.090974167,,9151,1126,1
LP,14,.35680771,.10799816,,.0085469373,.018933058,,9151,1126,1
WRDG,14,.37121522,.098440953,,.0043805232,.0095219472,,9151,1126,1
ACF,15,1.1578431,.12278854,,.016515713,.065804109,,3062,461,1
LP,15,.35325316,.3590613,,.0065306327,.031004695,,3062,461,1
WRDG,15,.38954884,.33729848,,.011528665,.013762858,,3062,461,1
LP,16,.17111394,.52436012,,.012953803,.010218295,,1770,247,1
WRDG,16,.19882438,.5083971,,.019131934,.013943481,,1770,247,1
LP,17,.17626126,.41640627,,.015890896,.076919049,,1517,188,1
WRDG,17,.14785577,.42627299,,.015372759,.016691707,,1517,188,1
LP,18,.31756812,.22227676,,.0092538679,.04907877,,4743,598,1
WRDG,18,.32415444,.2161658,,.0084688654,.014194986,,4743,598,1
ACF,19,-.3835783,.63429093,,.50948441,.18320701,,985,127,1
LP,19,.085053027,.15241142,,.0062864018,.049318258,,985,127,1
WRDG,19,.063526541,.16308957,,.0098294066,.015618214,,985,127,1
ACF,20,1.5190173,.14438324,,.086830437,.039691139,,5696,684,1
LP,20,.17699726,.33420274,,.0087500308,.028686443,,5696,684,1
WRDG,20,.19115829,.3338213,,.0068789986,.012281583,,5696,684,1
LP,21,.18030627,.12115477,,.016758503,.015771411,,2187,230,1
WRDG,21,.17032237,.10753644,,.01249697,.022190804,,2187,230,1
ACF,22,.73936909,.53030437,,.07439521,.061604064,,7585,865,1
LP,22,.18302932,.33365077,,.0082571013,.023652507,,7585,865,1
WRDG,22,.18729833,.32652998,,.0049629658,.0097330073,,7585,865,1
LP,23,.17962953,.49504951,,.0079556089,.018554416,,5156,660,1
WRDG,23,.18662941,.48096257,,.0073762489,.0077042179,,5156,660,1
LP,24,.24763525,.52418303,,.020426163,.040943854,,1512,230,1
WRDG,24,.22823052,.53212357,,.027391125,.020389467,,1512,230,1
ACF,25,1.3767848,.057784405,,.045028016,.067237169,,6806,864,1
LP,25,.29384512,.28839654,,.012935518,.028094871,,6806,864,1
WRDG,25,.32872754,.2721799,,.0080906088,.010971909,,6806,864,1
ACF,27,.89966065,.32262859,,.21836632,.12460379,,1583,222,1
LP,27,.18731688,.434003,,.013511975,.034895051,,1583,222,1
WRDG,27,.20722058,.40784103,,.021059778,.017786214,,1583,222,1
ACF,28,.96027273,.19676301,,.08059974,.039092828,,4456,582,1
LP,28,.36494631,.30452201,,.015470164,.01287405,,4456,582,1
WRDG,28,.40433007,.27448311,,.010573862,.011348882,,4456,582,1
LP,29,.25259572,.41526562,,.0076529328,.024742009,,1731,230,1
WRDG,29,.28462738,.39586407,,.015637869,.019762764,,1731,230,1
ACF,30,1.3467946,.15273935,,.017491315,.03712276,,353,59,1
LP,30,.36860418,.62185121,,.043106139,.074875638,,353,59,1
WRDG,30,.55156535,.5136708,,.050048109,.032122374,,353,59,1
ACF,31,1.3539521,.049584106,,.68335247,.099989615,,6015,1700,1
LP,31,.21268585,.31313258,,.014598553,.026914092,,6015,1700,1
WRDG,31,.26601177,.28851491,,.0089013586,.010815923,,6015,1700,1
ACF,32,1.1039782,.29878008,,.25644919,.072366789,,9442,2653,1
LP,32,.2300103,.44478685,,.0087285554,.024607047,,9442,2653,1
WRDG,32,.25482151,.42729351,,.0063464534,.0093075596,,9442,2653,1
LP,33,.20650654,.41952097,,.018737316,.063897483,,639,383,1
WRDG,33,.28467661,.39157224,,.029923229,.031413365,,639,383,1
