ciiu_rev4_2d,n_obs,avg_firms,n_distinct_firms
10,17022,1424.475,1896
11,816,75.852943,125
13,2750,235.72437,363
14,9151,781.54352,1126
15,3062,264.47876,461
16,1770,153.00339,247
17,1517,126.77192,188
18,4743,407.64093,598
19,985,83.700508,127
20,5696,497.67065,684
21,2187,183.12163,230
22,7585,637.22546,865
23,5156,431.58145,660
24,1512,133.10979,230
25,6806,578.95447,864
26,45,11.311111,14
27,1583,158.78775,222
28,4456,390.05835,582
29,1731,147.60081,230
30,353,29.74221,59
31,6015,587.60614,1700
32,9442,773.20905,2653
33,639,263.64163,383
