ciiu_rev4_2d,mean_diff_lp_wrdg,mean_diff_lp_acf,mean_diff_wrdg_acf,sd_diff_lp_wrdg,sd_diff_lp_acf,sd_diff_wrdg_acf,n_obs
10,-.11208923,.18100043,.29308966,.015107949,1.7189692,1.7144727,17022
11,-.12215233,-2.3044922,-2.1823399,.027285617,.33785012,.34948888,816
13,-.094495833,-1.9085233,-1.8140275,.018577106,1.0171041,1.0001229,2750
14,-.077540934,4.2418251,4.319366,.015638348,1.1832671,1.1771736,9151
15,-.17859729,-.66613466,-.48753741,.034996849,.78143114,.75285047,3062
19,.10722029,6.2852654,6.1780453,.025773432,.98550063,.96437126,985
20,.045260448,2.0014784,1.9562179,.016720919,1.3613961,1.3449219,5696
22,-.088971354,4.8209648,4.909936,.010022239,.96997106,.97707492,7585
25,-.11191066,.31242037,.42433104,.026284659,.93102658,.90905941,6806
27,-.30487671,1.0736949,1.3785716,.039908815,.74757689,.76300776,1583
28,-.28980768,.44160864,.73141634,.033452719,.48818266,.47687149,4456
30,-.87555975,-3.0510979,-2.1755383,.1382722,.79852277,.66724873,353
31,-.15588003,.23703173,.39291176,.043948613,1.0450689,1.0066729,6015
32,-.15698801,.98023409,1.1372221,.031837676,.90226722,.88779771,9442
