ciiu,ciiu_source,ciiu_original,n_obs
2529, CIIU3,2529,3975
2220, CIIU3,2220,2959
1589, CIIU3,1589,1907
3611, CIIU3,3611,1464
1530, CIIU3,1530,1339
1921, CIIU3,1921,1297
2521, CIIU3,2521,1180
1750, CIIU3,1750,816
1594, CIIU3,1594,701
3612, CIIU3,3612,661
1741, CIIU3,1741,631
1521, CIIU3,1521,528
1581, CIIU3,1581,504
3613, CIIU3,3613,496
1522, CIIU3,1522,492
1561, CIIU3,1561,472
1926, CIIU3,1926,431
1931, CIIU3,1931,429
1720, CIIU3,1720,419
2090, CIIU3,2090,397
3619, CIIU3,3619,389
1749, CIIU3,1749,365
1910, CIIU3,1910,351
2729, CIIU3,2729,310
2529,,2529,306
2322, CIIU3,2322,271
1563, CIIU3,1563,256
3614, CIIU3,3614,233
2030, CIIU3,2030,220
1924, CIIU3,1924,189
2220,,2220,187
2040, CIIU3,2040,181
2232, CIIU3,2232,165
1589,,1589,151
2512, CIIU3,2512,151
1710, CIIU3,1710,149
1592, CIIU3,1592,143
1591, CIIU3,1591,135
3611,,3611,131
1921,,1921,127
2231, CIIU3,2231,118
1530,,1530,116
1571, CIIU3,1571,110
1743, CIIU3,1743,106
1929, CIIU3,1929,106
1922, CIIU3,1922,100
1742, CIIU3,1742,97
1925, CIIU3,1925,97
2521,,2521,93
1750,,1750,88
1594,,1594,81
2234, CIIU3,2234,78
1572, CIIU3,1572,72
2020, CIIU3,2020,70
1939, CIIU3,1939,68
1521,,1521,63
1741,,1741,51
1581,,1581,49
3612,,3612,47
1522,,1522,44
2323, CIIU3,2323,43
1720,,1720,43
1931,,1931,40
3613,,3613,37
1749,,1749,34
1910,,1910,33
1563,,1563,32
1561,,1561,30
2729,,2729,29
1926,,1926,27
2233, CIIU3,2233,26
2414, CIIU3,2414,25
2090,,2090,24
2721, CIIU3,2721,22
2322,,2322,22
1932, CIIU3,1932,22
1710,,1710,20
3619,,3619,19
1924,,1924,19
1593, CIIU3,1593,18
1591,,1591,17
1592,,1592,16
1929,,1929,15
2030,,2030,13
2232,,2232,13
2040,,2040,12
3614,,3614,11
1925,,1925,11
1571,,1571,10
1572,,1572,8
1743,,1743,7
1922,,1922,7
2513, CIIU3,2513,6
1742,,1742,5
2512,,2512,5
2020,,2020,4
1939,,1939,4
2321,,2321,3
2233,,2233,3
1593,,1593,3
