"ISIC","ISIC TITLE","NAICSUS","NAICSUS TITLE","notes"
"0111","Growing of cereals and other crops n.e.c.","111110","Soybean Farming","soybeans"
"0111","Growing of cereals and other crops n.e.c.","111120","Oilseed (except Soybean) Farming","oilseeds, including sunflower, rape seed, canola, sesame"
"0111","Growing of cereals and other crops n.e.c.","111130","Dry Pea and Bean Farming","dry peas and beans"
"0111","Growing of cereals and other crops n.e.c.","111140","Wheat Farming","wheat"
"0111","Growing of cereals and other crops n.e.c.","111150","Corn Farming","corn (except sweet corn)"
"0111","Growing of cereals and other crops n.e.c.","111160","Rice Farming","rice"
"0111","Growing of cereals and other crops n.e.c.","111191","Oilseed and Grain Combination Farming","combination oilseed and grain farming"
"0111","Growing of cereals and other crops n.e.c.","111199","All Other Grain Farming","rye, barley, oats, wild rice"
"0111","Growing of cereals and other crops n.e.c.","111211","Potato Farming","potatoes"
"0111","Growing of cereals and other crops n.e.c.","111219","Other Vegetable (except Potato) and Melon Farming","sweet potatoes and yams"
"0111","Growing of cereals and other crops n.e.c.","111335","Tree Nut Farming","nuts used chiefly for oil extraction including tung nuts"
"0111","Growing of cereals and other crops n.e.c.","111419","Other Food Crops Grown Under Cover","herbs and ginseng grown under cover"
"0111","Growing of cereals and other crops n.e.c.","111910","Tobacco Farming","tobacco"
"0111","Growing of cereals and other crops n.e.c.","111920","Cotton Farming","cotton"
"0111","Growing of cereals and other crops n.e.c.","111930","Sugarcane Farming","sugarcane"
"0111","Growing of cereals and other crops n.e.c.","111940","Hay Farming","growing hay"
"0111","Growing of cereals and other crops n.e.c.","111991","Sugar Beet Farming","sugar beets"
"0111","Growing of cereals and other crops n.e.c.","111992","Peanut Farming","peanuts"
"0111","Growing of cereals and other crops n.e.c.","111998","All Other Miscellaneous Crop Farming","natural rubber latex; field crops, n.e.c.; and combinations of grains, cereal crops, and other similar crops "
"0112","Growing of vegetables, horticultural specialties and nursery products","111219","Other Vegetable (except Potato) and Melon Farming","vegetables, melons, sweet corn, onions, cabbages, carrots, lettuce, tomatoes, etc., grown in fields"
"0112","Growing of vegetables, horticultural specialties and nursery products","111411","Mushroom Production","mushrooms"
"0112","Growing of vegetables, horticultural specialties and nursery products","111419","Other Food Crops Grown Under Cover","growing melons, vegetables, etc., under cover"
"0112","Growing of vegetables, horticultural specialties and nursery products","111421","Nursery and Tree Production","nursery products, such as shrubs, bulbs, fruit stock, sod, and similar nursery stock (except tree nurseries and farms)"
"0112","Growing of vegetables, horticultural specialties and nursery products","111422","Floriculture Production","floriculture products, such as cut flowers, potted flower and foliage plants, and flower seeds"
"0112","Growing of vegetables, horticultural specialties and nursery products","111998","All Other Miscellaneous Crop Farming","maple sugar and syrup production in the field, spice crop production"
"0112","Growing of vegetables, horticultural specialties and nursery products","113210","Forest Nurseries and Gathering of Forest Products","gathering mushrooms and truffles in the wild"
"0113","Growing of fruit, nuts, beverage and spice crops","111310","Orange Groves","oranges"
"0113","Growing of fruit, nuts, beverage and spice crops","111320","Citrus (except Orange) Groves","citrus groves (except orange)"
"0113","Growing of fruit, nuts, beverage and spice crops","111331","Apple Orchards","apples"
"0113","Growing of fruit, nuts, beverage and spice crops","111332","Grape Vineyards","grape vineyards"
"0113","Growing of fruit, nuts, beverage and spice crops","111333","Strawberry Farming","strawberry farms"
"0113","Growing of fruit, nuts, beverage and spice crops","111334","Berry (except Strawberry) Farming","berry (except strawberry) farms"
"0113","Growing of fruit, nuts, beverage and spice crops","111335","Tree Nut Farming","edible nuts"
"0113","Growing of fruit, nuts, beverage and spice crops","111336","Fruit and Tree Nut Combination Farming","combination fruit and tree nut farming"
"0113","Growing of fruit, nuts, beverage and spice crops","111339","Other Noncitrus Fruit Farming","banana, cherry, apricot, olive, fig, date, coffee, peach, pineapple, prune, and similar noncitrus fruits"
"0113","Growing of fruit, nuts, beverage and spice crops","111419","Other Food Crops Grown Under Cover","fruit grown under cover"
"0113","Growing of fruit, nuts, beverage and spice crops","111998","All Other Miscellaneous Crop Farming","tea and mate; and combinations of crops of fruit, nut, beverage, and spice crops"
"0113","Growing of fruit, nuts, beverage and spice crops","312130","Wineries","integrated grape growing and wine manufacturing"
"0121","Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming","112111","Beef Cattle Ranching and Farming","cattle ranching and farming"
"0121","Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming","112112","Cattle Feedlots","cattle feed lots"
"0121","Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming","112120","Dairy Cattle and Milk Production","dairy cattle and milk production"
"0121","Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming","112130","Dual-Purpose Cattle Ranching and Farming","null set for US - growing cattle for both milk and meat"
"0121","Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming","112410","Sheep Farming","sheep"
"0121","Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming","112420","Goat Farming","goats"
"0121","Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming","112920","Horse and Other Equine Production","horses, asses, mules, hinnies"
