"ISIC","NAICSUS","notes"
"0111","111110","soybeans"
"0111","111120","oilseeds, including sunflower, rape seed, canola, sesame"
"0111","111130","dry peas and beans"
"0111","111140","wheat"
"0111","111150","corn (except sweet corn)"
"0111","111160","rice"
"0111","111191","combination oilseed and grain farming"
"0111","111199","rye, barley, oats, wild rice"
"0111","111211","potatoes"
"0111","111219","sweet potatoes and yams"
"0111","111335","nuts used chiefly for oil extraction including tung nuts"
"0111","111419","herbs and ginseng grown under cover"
"0111","111910","tobacco"
"0111","111920","cotton"
"0111","111930","sugarcane"
"0111","111940","growing hay"
"0111","111991","sugar beets"
"0111","111992","peanuts"
"0111","111998","natural rubber latex; field crops, n.e.c.; and combinations of grains, cereal crops, and other similar crops "
"0112","111219","vegetables, melons, sweet corn, onions, cabbages, carrots, lettuce, tomatoes, etc., grown in fields"
"0112","111411","mushrooms"
"0112","111419","growing melons, vegetables, etc., under cover"
"0112","111421","nursery products, such as shrubs, bulbs, fruit stock, sod, and similar nursery stock (except tree nurseries and farms)"
"0112","111422","floriculture products, such as cut flowers, potted flower and foliage plants, and flower seeds"
"0112","111998","maple sugar and syrup production in the field, spice crop production"
"0112","113210","gathering mushrooms and truffles in the wild"
"0113","111310","oranges"
"0113","111320","citrus groves (except orange)"
"0113","111331","apples"
"0113","111332","grape vineyards"
"0113","111333","strawberry farms"
"0113","111334","berry (except strawberry) farms"
"0113","111335","edible nuts"
"0113","111336","combination fruit and tree nut farming"
"0113","111339","banana, cherry, apricot, olive, fig, date, coffee, peach, pineapple, prune, and similar noncitrus fruits"
"0113","111419","fruit grown under cover"
"0113","111998","tea and mate; and combinations of crops of fruit, nut, beverage, and spice crops"
"0113","312130","integrated grape growing and wine manufacturing"
"0121","112111","cattle ranching and farming"
"0121","112112","cattle feed lots"
"0121","112120","dairy cattle and milk production"
"0121","112130","null set for US - growing cattle for both milk and meat"
"0121","112410","sheep"
"0121","112420","goats"
"0121","112920","horses, asses, mules, hinnies"
"0121","112990","other general livestock farms including combinations of animals, such as horses, asses, mules, cattle, sheep and goats"
"0122","112210","hog and pig farming"
"0122","112310","chicken eggs"
"0122","112320","meat type chickens"
"0122","112330","turkeys"
"0122","112340","poultry hatcheries"
"0122","112390","ducks, geese, quail, pheasant, emu, ostriches"
"0122","112519","alligator and frog production"
"0122","112910","beekeeping"
"0122","112930","rabbits, other animals raised for fur"
"0122","112990","other animal farms including cats, crickets and other insects, dogs, pet birds, snakes, worms, and combinations of swine, poultry and domestic animals"
"0130","111998","combinations of crops, livestock, and animal specialties (primarily crops)"
